         5315333 function calls (5109638 primitive calls) in 8.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9075    0.010    0.000    0.023    0.000 contextlib.py:547(_push_cm_exit)
    679/0    0.010    0.000    0.000          lax_numpy.py:4860(array)
     6418    0.010    0.000    0.015    0.000 source_info_util.py:246(user_context)
    15030    0.010    0.000    0.022    0.000 partial_eval.py:607(parents)
     24/0    0.010    0.000    0.000          ensemble_of_forecasters.py:40(training_loop)
    18543    0.010    0.000    0.014    0.000 partial_eval.py:135(get_aval)
    25485    0.010    0.000    0.010    0.000 array.py:248(shape)
    15661    0.010    0.000    0.010    0.000 core.py:1118(cur_sublevel)
      541    0.010    0.000    0.013    0.000 _inspect.py:96(getargspec)
    499/0    0.010    0.000    0.000          ad.py:119(linearize)
  486/427    0.010    0.000    0.036    0.000 inspect.py:2473(_signature_from_callable)
     1222    0.010    0.000    0.012    0.000 <frozen importlib._bootstrap>:372(release)
      226    0.010    0.000    0.010    0.000 util.py:188(concatenate)
        2    0.010    0.005    0.011    0.005 mlir.py:1661(replicate_trailing_dims)
       42    0.010    0.000    0.014    0.000 __init__.py:126(__init__)
     1638    0.010    0.000    0.010    0.000 {built-in method numpy.array}
     2005    0.009    0.000    0.118    0.000 ad_util.py:67(from_primal_value)
     3993    0.009    0.000    0.009    0.000 <string>:19(__eq__)
  1560/63    0.009    0.000    0.062    0.001 array_methods.py:1035(op)
3632/3556    0.009    0.000    0.061    0.000 typing.py:426(inner)
    22000    0.009    0.000    0.009    0.000 pjit.py:2292(<genexpr>)
     8114    0.009    0.000    0.022    0.000 core.py:2751(used_axis_names_jaxpr)
    499/0    0.009    0.000    0.000          ad.py:146(unbound_vjp)
17383/17010    0.009    0.000    0.009    0.000 {built-in method builtins.hash}
     8051    0.009    0.000    0.060    0.000 core.py:2117(<lambda>)
     7189    0.009    0.000    0.026    0.000 core.py:1787(__hash__)
    12000    0.009    0.000    0.015    0.000 pjit.py:2081(_filter_zeros)
     5427    0.009    0.000    0.028    0.000 util.py:295(_arraylike)
     1008    0.009    0.000    0.045    0.000 ad.py:73(jvpfun)
    16822    0.008    0.000    0.009    0.000 {built-in method builtins.setattr}
    55446    0.008    0.000    0.008    0.000 multiarray.py:684(result_type)
    22569    0.008    0.000    0.008    0.000 dtypes.py:683(check_valid_dtype)
      504    0.008    0.000    0.025    0.000 util.py:254(check_toposort)
     1243    0.008    0.000    0.075    0.000 dtypes.py:712(_lattice_result_type)
   775/21    0.008    0.000    0.115    0.005 profiler.py:330(wrapper)
     5512    0.008    0.000    0.023    0.000 partial_eval.py:120(known)
     7504    0.008    0.000    0.009    0.000 {method 'join' of 'str' objects}
